raw_name,n_samples,canonical_name,action,note
human primary kidney cells,7,human primary kidney cells,unchanged,
HADMSCs,7,HADMSCs,unchanged,
human adipogenic mesenchymal stem cells,6,human adipogenic mesenchymal stem cells,unchanged,
HUVECs/MSCs,6,HUVECs/MSCs,unchanged,
HEPG2/ECs,6,HEPG2/ECs,unchanged,
RHECs,6,RHECs,unchanged,
A549,6,A549,unchanged,
RSC96/HUVECs,6,RSC96/HUVECs,unchanged,
U87-MG,6,U87-MG,unchanged,
hTMSCs,5,hTMSCs,unchanged,
mouse cardiac cells,5,mouse cardiac cells,unchanged,
Human non-small cell lung cancer line Calu-3 (Calu-3),5,Human non-small cell lung cancer line Calu-3 (Calu-3),unchanged,
Schwann cells,5,Schwann cells,unchanged,
bMSCs/hACs,4,bMSCs/hACs,unchanged,
basil plant cell,4,basil plant cell,unchanged,
IMR-90,4,IMR-90,unchanged,
MRC5,4,MRC5,unchanged,
cardiomyocytes,4,cardiomyocytes,unchanged,
human epithelial lung carcinoma cells,4,human epithelial lung carcinoma cells,unchanged,
HCF,4,HCF,unchanged,
EA.hy 926 cells,4,EA.hy 926 cells,unchanged,
Human cardiac fibroblasts,4,Human cardiac fibroblasts,unchanged,
human induced pluripotent stem cell-derived cardiomyocytes,4,human induced pluripotent stem cell-derived cardiomyocytes,unchanged,
Huh7,4,Huh7,unchanged,
3T3 Fibroblasts,4,3T3 Fibroblasts,unchanged,
rMSC,4,rMSC,unchanged,
neonatal rat ventricular CFs,4,neonatal rat ventricular CFs,unchanged,
EPCs,4,EPCs,unchanged,
hTERT-MSC,4,hTERT-MSC,unchanged,
Caki-1,4,Caki-1,unchanged,
HepG2/C3A,4,HepG2/C3A,unchanged,
human coronary artery endothelial cells,4,human coronary artery endothelial cells,unchanged,
murine macrophage-like cell line,3,murine macrophage-like cell line,unchanged,
NIH3T3/ HUVECs,3,NIH3T3/ HUVECs,unchanged,
hiPSC-CM / fibroblasts,3,hiPSC-CM / fibroblasts,unchanged,
HUVECs/H9C2,3,HUVECs/H9C2,unchanged,
HBE,3,HBE,unchanged,
HepaRG / LX-2,3,HepaRG / LX-2,unchanged,
Wnt3a-293FT,3,Wnt3a-293FT,unchanged,
Human aortic VIC,3,Human aortic VIC,unchanged,
NRCMs,3,NRCMs,unchanged,
HEK-293,3,HEK-293,unchanged,
neonatal rat ventricular cardiomyocytes,3,neonatal rat ventricular cardiomyocytes,unchanged,
Neonatal mouse cardiomyocytes (NMVCMs),3,Neonatal mouse cardiomyocytes (NMVCMs),unchanged,
human hepatic stellate cell line,3,human hepatic stellate cell line,unchanged,
aHSC,3,aHSC,unchanged,
Endothelial cells,3,Endothelial cells,unchanged,
sADSC,3,sADSC,unchanged,
HEK 293FT,3,HEK 293FT,unchanged,
293FT,3,293FT,unchanged,
MC3T3,2,MC3T3,unchanged,
Human umbilical vein endothelial cells,2,Human umbilical vein endothelial cells,unchanged,
hESC-derived HLCs,2,hESC-derived HLCs,unchanged,
primary rat hepatocyte,2,primary rat hepatocyte,unchanged,
HNDF,2,HNDF,unchanged,
ATDC5,2,ATDC5,unchanged,
HUVSMCs,2,HUVSMCs,unchanged,
pancreatic islets cells,2,pancreatic islets cells,unchanged,
PMHs,2,PMHs,unchanged,
cardiomyocyte/MSCs,2,cardiomyocyte/MSCs,unchanged,
ICC,2,ICC,unchanged,
hiHeps,2,hiHeps,unchanged,
Huh7/HepaRG,2,Huh7/HepaRG,unchanged,
HCASMCs,2,HCASMCs,unchanged,
Human CM /adult human fibroblasts,2,Human CM /adult human fibroblasts,unchanged,
eHep,2,eHep,unchanged,
hepatoma,2,hepatoma,unchanged,
n neonatal mouse ventricular cardiomyocytes,2,n neonatal mouse ventricular cardiomyocytes,unchanged,
Human MSCs,2,Human MSCs,unchanged,
Human CPCs,2,Human CPCs,unchanged,
ADSCs,2,ADSCs,unchanged,
hNCs,2,hNCs,unchanged,
SMC,2,SMC,unchanged,
HPAAF,2,HPAAF,unchanged,
HLC,2,HLC,unchanged,
CFs/CMs/HUVECs,2,CFs/CMs/HUVECs,unchanged,
Wnt reporter-293FT,2,Wnt reporter-293FT,unchanged,
FB,2,FB,unchanged,
human cardiac progenitor cells,2,human cardiac progenitor cells,unchanged,
MFCs,2,MFCs,unchanged,
A549 GFP+,2,A549 GFP+,unchanged,
VIC,2,VIC,unchanged,
H1650,1,H1650,unchanged,
PC9,1,PC9,unchanged,
hiPSCs-derived HLCs,1,hiPSCs-derived HLCs,unchanged,
U87,1,U87,unchanged,
VICs,1,VICs,unchanged,
SMCs,1,SMCs,unchanged,
iCMs/iCFs/iECs,1,iCMs/iCFs/iECs,unchanged,
iCMs/iCFs/iECs/iCMFs,1,iCMs/iCFs/iECs/iCMFs,unchanged,
HUVECs and hiPSC-CS,1,HUVECs and hiPSC-CS,unchanged,
H1395,1,H1395,unchanged,
iCMFs,1,iCMFs,unchanged,
neonatal rat ventricular CMs,1,neonatal rat ventricular CMs,unchanged,
human neonatal dermal fi broblasts,1,human neonatal dermal fi broblasts,unchanged,
10T1/2 fibroblast-laden cells,1,10T1/2 fibroblast-laden cells,unchanged,
primary human hepatocytes,1,primary human hepatocytes,unchanged,
NCI-H441,1,NCI-H441,unchanged,
HULEC-5a,1,HULEC-5a,unchanged,
cardiomyocytes/ fibroblasts,1,cardiomyocytes/ fibroblasts,unchanged,
iPSC-derived CM,1,iPSC-derived CM,unchanged,
rabbit bone marrow mesenchymal stem cells,1,rabbit bone marrow mesenchymal stem cells,unchanged,
Human Umbilical Vein Endothelial Cells + iPSC-derived CM,1,Human Umbilical Vein Endothelial Cells + iPSC-derived CM,unchanged,
NSCLC PDX/CAFs,1,NSCLC PDX/CAFs,unchanged,
NIH 3T3 mouse fibroblasts,1,NIH 3T3 mouse fibroblasts,unchanged,
Neonatal rat cardiomyocytes,1,Neonatal rat cardiomyocytes,unchanged,
CMs/CFs,1,CMs/CFs,unchanged,
Intrahepatic cholangiocarcinoma (ICC),1,Intrahepatic cholangiocarcinoma (ICC),unchanged,
NCI-H1703,1,NCI-H1703,unchanged,
hBM-MSCs,1,hBM-MSCs,unchanged,
iPSC-CMs,1,iPSC-CMs,unchanged,
iPSCs/HUVECs,1,iPSCs/HUVECs,unchanged,
"75% hepatoblast cells, 20% iEC and 5% iMSC",1,"75% hepatoblast cells, 20% iEC and 5% iMSC",unchanged,
HUVECs and HHSCs,1,HUVECs and HHSCs,unchanged,
pancreatic cancer cell,1,pancreatic cancer cell,unchanged,
prostate cancer stem cell,1,prostate cancer stem cell,unchanged,
human primary parathyroid cells,1,human primary parathyroid cells,unchanged,
CPCs / MSCs,1,CPCs / MSCs,unchanged,
iPSCs-derived cardiomyocytes,1,iPSCs-derived cardiomyocytes,unchanged,
hiPSC-CM,1,hiPSC-CM,unchanged,
LX-2,1,LX-2,unchanged,
Hepatoblast- spheroid/iESC/iMSC,1,Hepatoblast- spheroid/iESC/iMSC,unchanged,
Hepatoblast- single cell/iESC/iMSC,1,Hepatoblast- single cell/iESC/iMSC,unchanged,
SMMC-7721,1,SMMC-7721,unchanged,
rat ventricular cardiomyocytes,1,rat ventricular cardiomyocytes,unchanged,
A549/95-D cells,1,A549/95-D cells,unchanged,
Human CPCs / MSCs,1,Human CPCs / MSCs,unchanged,
HL-1,1,HL-1,unchanged,
HLF,1,HLF,unchanged,
A549 lung adenocarcinoma cells,1,A549 lung adenocarcinoma cells,unchanged,
HMEC-1/ fibroblast/ THP-1,1,HMEC-1/ fibroblast/ THP-1,unchanged,
HMEC-1,1,HMEC-1,unchanged,
HAVSMC,1,HAVSMC,unchanged,
HUVEC/HHSC,1,HUVEC/HHSC,unchanged,
Fibroblasts/THP-1,1,Fibroblasts/THP-1,unchanged,
HUVECs / LX-2,1,HUVECs / LX-2,unchanged,
CCAO,1,CCAO,unchanged,
Hepa RG/ HUVEC,1,Hepa RG/ HUVEC,unchanged,
BEAS2B,1,BEAS2B,unchanged,
PDGFRβ+,1,PDGFRβ+,unchanged,
CiPSC-HOs,1,CiPSC-HOs,unchanged,
tubular epithelial,1,tubular epithelial,unchanged,
